key,title,icon,status,category,met-id,scope,type,lat,lon,unit,section,rank,Req,code,components,image,kpiSubTitle,kpiValue,kpiColor,important,label,readiness,comments,Lat,Lon,D_Lat,D_Lon,city,country,Unnamed: 0,place_key,class,address,postcode,dateTime,description,nameFirst,nameLast,hasChildren,married,age,dob,gender,sc_interests,sc_education,sc_occupation,sc_charisma,sc_engagement,sc_personality,sc_tolerance,sc_culture,sc_ethnic,sc_locale,sc_soc_class,culture,ethnic,interests,occupation,personality,pob,livesAt,color,endDate,URL,geometry
edf3e675cc4180faa6d36bf498695576,Tunguskhaya,sap-icon://map,Standard,area,,,city,64.90044293,125.2500187,,,,,,,,,,,,,,,64.90044293,125.2500187,,,Tunguskhaya,Russia,,,,,,,"Tunguskhaya Sakha (Yakutia), Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a86deb160cd95ebd0ab22f8285c6de8,Natara,sap-icon://map,Standard,area,,,city,68.41061627,123.9255,,,,,,,,,,,,,,,68.41061627,123.9255,,,Natara,Russia,,,,,,,"Natara Sakha (Yakutia), Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0bcdeb30b79609fa098a3dbb8dbe575f,Zhilinda,sap-icon://map,Standard,area,,,city,70.13368939,114.0000077,,,,,,,,,,,,,,,70.13368939,114.0000077,,,Zhilinda,Russia,,,,,,,"Zhilinda Sakha (Yakutia), Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54b65ef4ad8ee90f9c835af9636dd752,Trofimovsk,sap-icon://map,Standard,area,,,city,72.59968874,127.0336824,,,,,,,,,,,,,,,72.59968874,127.0336824,,,Trofimovsk,Russia,,,,,,,"Trofimovsk Sakha (Yakutia), Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e029d68e18a1f8d64da6f3b69d36ecd,Tukchi,sap-icon://map,Standard,area,,,city,57.36697512,139.5000016,,,,,,,,,,,,,,,57.36697512,139.5000016,,,Tukchi,Russia,,,,,,,"Tukchi Khabarovsk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c59205d2427830789672f881ee6be527,Amursk,sap-icon://map,Standard,area,,,city,50.22283754,136.8974214,,,,,,,,,,,,,,,50.22283754,136.8974214,,,Amursk,Russia,,,,,,,"Amursk Khabarovsk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975a0d5bbcbd7c9618c601309a49bd78,Bikin,sap-icon://map,Standard,area,,,city,46.82025454,134.2649206,,,,,,,,,,,,,,,46.82025454,134.2649206,,,Bikin,Russia,,,,,,,"Bikin Khabarovsk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0b667da883ee6d16ab35e1fad3f61dd,Vyazemskiy,sap-icon://map,Standard,area,,,city,47.5328467,134.7474751,,,,,,,,,,,,,,,47.5328467,134.7474751,,,Vyazemskiy,Russia,,,,,,,"Vyazemskiy Khabarovsk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3af7ab86a4bb67c58e047a351d0511c5,Chegdomyn,sap-icon://map,Standard,area,,,city,51.11779584,133.0241178,,,,,,,,,,,,,,,51.11779584,133.0241178,,,Chegdomyn,Russia,,,,,,,"Chegdomyn Khabarovsk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edae7a2d9fd6f6a5a94196a136473da8,Siglan,sap-icon://map,Standard,area,,,city,59.03372093,152.4165775,,,,,,,,,,,,,,,59.03372093,152.4165775,,,Siglan,Russia,,,,,,,"Siglan Maga Buryatdan, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8e6fa3efa6ce5584db1d54b2486c96,Karamken,sap-icon://map,Standard,area,,,city,60.20041974,151.166628,,,,,,,,,,,,,,,60.20041974,151.166628,,,Karamken,Russia,,,,,,,"Karamken Maga Buryatdan, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d1ed7cc9a04d8f17398e51881530eb5,Strelka,sap-icon://map,Standard,area,,,city,61.86698468,152.2501794,,,,,,,,,,,,,,,61.86698468,152.2501794,,,Strelka,Russia,,,,,,,"Strelka Maga Buryatdan, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067cd5e518286dc961ccc1ece9102768,Severo Kurilsk,sap-icon://map,Standard,area,,,city,50.69048342,156.0850358,,,,,,,,,,,,,,,50.69048342,156.0850358,,,Severo Kurilsk,Russia,,,,,,,"Severo Kurilsk Sakhalin, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
